id	table_id	utterance	context	targetValue
ns-0	1004	berapa persen lulusan universitas di kalangan perempuan kulit hitam generasi kedua yang berasal dari jamaika lebih tinggi dibandingkan laki-laki pada tahun 2016?	csv/200-csv/1004.csv	15.5
ns-1	1004	apa perbedaan antara perempuan kulit hitam yang hanya memiliki gelar sarjana yang berasal dari Haiti dan laki-laki?	csv/200-csv/1004.csv	18.8
ns-2	1004	pada tahun 2016, wilayah keturunan manakah yang memiliki persentase perempuan kulit hitam generasi kedua yang memiliki gelar sarjana lebih tinggi? perempuan generasi kedua dengan keturunan daerah lain atau perempuan keturunan Afrika?	csv/200-csv/1004.csv	Afrika
ns-3	1004	berapa persen perempuan generasi kedua keturunan Afrika yang memiliki gelar sarjana pada tahun 2016?	csv/200-csv/1004.csv	50.8
ns-4	1004	berapa persen perempuan generasi kedua keturunan Karibia dan Amerika Latin yang memiliki gelar sarjana pada tahun 2016?	csv/200-csv/1004.csv	34.8
ns-5	1004	berapa persen perempuan generasi kedua yang berasal dari daerah lain memiliki gelar sarjana pada tahun 2016?	csv/200-csv/1004.csv	19.1
ns-6	1004	di kalangan laki-laki, berapa persentase mereka yang negara keturunannya di Afrika?	csv/200-csv/1004.csv	35.3
ns-7	1004	di kalangan laki-laki, berapa persentase mereka yang negara keturunannya berada di Karibia dan Amerika Latin?	csv/200-csv/1004.csv	18.4
ns-8	1021	waktu menetap manakah yang memiliki koefisien beta terbesar?	csv/200-csv/1021.csv	akhir pekan
ns-9	1021	lpa manakah yang memiliki koefisien beta terbesar?	csv/200-csv/1021.csv	akhir pekan
ns-10	1077	berapa persen dari total jumlah perusahaan di Kanada yang meningkat dari 1.028.397 pada tahun 2008 menjadi 1.089.136 pada tahun 2014?	csv/200-csv/1077.csv	5.9
ns-11	1077	kelas ukuran perusahaan manakah yang mempunyai pangsa perusahaan tertinggi pada tahun 2008 dan tahun 2014?	csv/200-csv/1077.csv	antara 1 dan 4
ns-12	1077	kelas ukuran perusahaan manakah yang memiliki peningkatan relatif tertinggi dalam jumlah perusahaan?	csv/200-csv/1077.csv	antara 50 dan 99
ns-13	1077	kelas ukuran perusahaan manakah yang merupakan satu-satunya kelas ukuran yang menurun?	csv/200-csv/1077.csv	1.000 ke atas
ns-14	1112	berapa persentase tumor kanker payudara wanita yang mendapat intervensi bedah?	csv/200-csv/1112.csv	88.2
ns-15	1114	berapa persentase tumor kanker kolorektal yang mendapat intervensi bedah?	csv/200-csv/1114.csv	83.0
ns-16	112	lahan alami untuk padang rumput sebagian besar ditemukan di Kanada bagian barat, berapa persentase alberta yang melaporkan jumlah lahan padang rumput alami terbanyak pada tahun 2011?	csv/200-csv/112.csv	6435825.0
ns-17	112	lahan alami untuk padang rumput sebagian besar ditemukan di Kanada bagian barat, berapa persentase manitoba yang melaporkan jumlah area padang rumput alami pada tahun 2011?	csv/200-csv/112.csv	1466968.0
