kharakteristik,ras atau etnis 2014,ras atau etnis pada tahun 2015,ras atau etnis 2016,agama 2014,agama tahun 2015,agama 2016,orientasi seksual 2014,orientasi seksual 2015,orientasi seksual 2016,lainnya tahun 2014,lainnya tahun 2015,lainnya tahun 2016,jumlah tahun 2014,jumlah tahun 2015,jumlah tahun 2016
nomor newfoundland dan labrador,0,2,0,0,1,1,0,0,1,0,1,0,0,4,2
nomor pulau pangeran Edward,0,1,2,0,0,1,0,1,0,0,0,0,0,2,3
nomor nova scotia,16,14,9,5,8,5,5,6,7,0,1,0,27,32,21
nomor brunswick baru,1,6,12,2,6,2,2,4,2,1,0,2,6,17,18
nomor Quebec,82,84,118,93,127,116,27,12,27,44,38,51,258,270,327
nomor ontario,315,308,273,246,224,242,70,69,76,23,21,19,660,628,612
nomor manitoba,9,18,17,7,4,13,1,4,4,2,4,2,20,30,36
nomor saskatchewan,9,11,16,2,5,6,2,0,4,0,0,3,13,16,29
nomor alberta,86,108,92,30,56,25,20,19,19,2,10,1,139,193,139
nomor columbia inggris,90,84,118,44,38,47,27,25,36,5,11,10,168,164,211
nomor yukon,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2
nomor wilayah barat laut,1,3,0,0,0,0,1,1,0,0,0,0,2,4,0
nomor nunavut,0,2,8,0,0,1,0,0,0,0,0,0,0,2,9
nomor Kanada,611,641,666,429,469,460,155,141,176,77,86,88,1295,1362,1409
