kharakteristik,pendapatan wirausaha bersih rata-rata,penghasilan t4 rata-rata,total pendapatan rata-rata
imigran dolar,,,
dolar imigran kuintil terendah,-5608.0,45067.0,39458.0
imigran dolar kuintil menengah ke bawah,1017.0,30651.0,31667.0
dolar imigran kuintil menengah,5146.0,13561.0,18707.0
imigran dolar kuintil menengah-atas,11249.0,6269.0,17518.0
dolar imigran kuintil tertinggi,41614.0,6611.0,48225.0
dolar non-imigran,,,
dolar non-imigran kuintil terendah,-7511.0,47313.0,39802.0
dolar non-imigran kuintil menengah ke bawah,321.0,37457.0,37777.0
dolar kuintil menengah non-imigran,3469.0,24980.0,28449.0
dolar bagi kuintil menengah-atas non-imigran,11091.0,13910.0,25001.0
dolar non-imigran kuintil tertinggi,67912.0,11424.0,79337.0
