kharakteristik,nomor kasus biaya tunggal,persen kasus biaya tunggal,nomor kasus multi-biaya,persen kasus multi-biaya,jumlah total kasus bersalah,total kasus bersalah persen
kasus kekerasan pasangan intim (ipv).,,,,,,
kasus kekerasan pasangan intim (ipv) 1 bulan atau kurang,2397.0,58.0,15050.0,51.0,17447.0,52.0
kasus kekerasan pasangan intim (ipv) lebih dari 1 bulan hingga 3 bulan,1113.0,27.0,6829.0,23.0,7942.0,24.0
kasus kekerasan pasangan intim (ipv) lebih dari 3 bulan sampai 6 bulan,303.0,7.0,2827.0,10.0,3130.0,9.0
kasus kekerasan pasangan intim (ipv) lebih dari 6 bulan hingga 12 bulan,93.0,2.0,1119.0,4.0,1212.0,4.0
kasus kekerasan pasangan intim (ipv) lebih dari 12 bulan hingga kurang dari 2 tahun,34.0,1.0,425.0,1.0,459.0,1.0
kasus kekerasan pasangan intim (ipv) 2 tahun atau lebih,36.0,1.0,480.0,2.0,516.0,2.0
kasus kekerasan pasangan intim (ipv) tidak diketahui,144.0,3.0,2798.0,9.0,2942.0,9.0
kasus kekerasan pasangan intim (ipv) total kasus ipv yang dijatuhi hukuman tahanan,4120.0,100.0,29528.0,100.0,33648.0,100.0
kasus kekerasan pasangan non-intim (non-ipv).,,,,,,
kasus kekerasan pasangan non-intim (non-ipv) 1 bulan atau kurang,2319.0,48.0,12589.0,43.0,14908.0,44.0
kasus kekerasan bukan pasangan intim (non-ipv) lebih dari 1 bulan sampai 3 bulan,1078.0,22.0,6254.0,21.0,7332.0,21.0
kasus kekerasan bukan pasangan intim (non-ipv) lebih dari 3 bulan sampai dengan 6 bulan,464.0,10.0,3097.0,11.0,3561.0,10.0
kasus kekerasan bukan pasangan intim (non-ipv) lebih dari 6 bulan sampai 12 bulan,284.0,6.0,1961.0,7.0,2245.0,7.0
kasus kekerasan bukan pasangan intim (non-ipv) lebih dari 12 bulan hingga kurang dari 2 tahun,173.0,4.0,1136.0,4.0,1309.0,4.0
kasus kekerasan pasangan non-intim (non-ipv) 2 tahun atau lebih,266.0,6.0,2184.0,7.0,2450.0,7.0
kasus kekerasan pasangan non-intim (non-ipv) tidak diketahui,212.0,4.0,2100.0,7.0,2312.0,7.0
kasus kekerasan pasangan non-intim (non-ipv) total kasus non-ipv yang dijatuhi hukuman tahanan,4796.0,100.0,29321.0,100.0,34117.0,100.0
total kasus yang dijatuhi hukuman tahanan,8916.0,,58849.0,,67765.0,
