kharakteristik,betina ribuan,persentase perempuan,laki-laki ribuan,persentase laki-laki
tanggapan tunggal,16257.6,96.5,15701.2,96.5
tanggapan tunggal bahasa inggris,10871.5,64.5,10585.6,65.1
tanggapan tunggal perancis,3479.6,20.6,3348.2,20.6
tanggapan tunggal dalam bahasa non-resmi,1906.6,11.3,1767.3,10.9
tanggapan ganda,597.7,3.5,564.7,3.5
beberapa tanggapan bahasa Inggris dan Perancis,67.7,0.4,63.5,0.4
beberapa tanggapan bahasa Inggris dan bahasa non-resmi,449.8,2.7,425.4,2.6
beberapa tanggapan bahasa Perancis dan non-resmi,56.7,0.3,53.0,0.3
"berbagai tanggapan dalam bahasa Inggris, Prancis, dan bahasa non-resmi",23.5,0.1,22.8,0.1
total,16855.3,100.0,16265.9,100.0
