kharakteristik,nomor kohort tumor cctlp terkait,tumor dengan satu atau lebih nomor intervensi bedah,tumor dengan satu atau lebih persentase intervensi bedah
Kanada,52905.0,16480.0,31.0
kanada newfoundland dan labrador,1350.0,470.0,35.0
pulau pangeran edward kanada,420.0,70.0,17.0
Kanada Nova Scotia,2210.0,775.0,35.0
kanada brunswick baru,1965.0,490.0,25.0
kanada ontario,26135.0,8085.0,31.0
manitoba Kanada,2045.0,570.0,28.0
Kanada Saskatchewan,2100.0,515.0,25.0
Kanada Alberta,6835.0,2325.0,34.0
"Kanada, British Columbia",9765.0,3145.0,32.0
kanada yukon,50.0,30.0,45.0
wilayah barat laut Kanada,,,
Kanada nunavut,,,
