kharakteristik,jumlah populasi,indeks indeks keparahan kejahatan total,persentase perubahan indeks keparahan kejahatan total 2018 ke 2019,persentase perubahan indeks keparahan kejahatan total 2009 hingga 2019,indeks indeks keparahan kejahatan kekerasan,persen perubahan indeks keparahan kejahatan kekerasan 2018 ke 2019,indeks indeks keparahan kejahatan tanpa kekerasan,persentase perubahan indeks keparahan kejahatan tanpa kekerasan dari tahun 2018 ke tahun 2019
st. milik John,208432,71.3,0,-19.0,82.2,-3,67.2,1
halifax,440332,60.7,-10,-38.0,83.8,-13,52.3,-8
monton,164337,108.9,8,,106.7,18,109.4,5
santo john,130712,56.1,-2,,73.8,4,49.6,-4
saguenay,169157,47.7,-2,-37.0,64.5,1,41.6,-4
Quebec,815674,43.8,-1,-28.0,57.3,7,38.8,-5
sherbrooke,204618,47.2,-10,-33.0,56.3,-16,43.9,-7
trois-rivieres,158805,51.8,-5,-34.0,64.2,-8,47.2,-4
montreal,4302818,58.0,-1,-35.0,76.1,5,51.3,-4
gatineau,339246,55.8,-1,-24.0,71.2,-2,50.1,0
Ottawa,1091116,57.0,4,-15.0,68.8,0,52.6,7
kingston,173196,67.8,-3,5.0,66.9,-8,68.0,-1
belleville,113140,70.3,13,,91.9,28,62.4,7
peterborough,128861,54.4,10,-18.0,65.7,21,50.2,5
toronto,6402381,54.2,1,-16.0,78.1,-1,45.5,2
hamilton,765101,60.2,3,-19.0,74.0,10,55.0,0
st. catharines-niagara,479183,64.3,-7,-16.0,56.8,4,66.9,-10
tukang dapur-cambridge-waterloo,595465,73.3,-1,-2.0,87.7,9,68.0,-5
Brantford,150235,83.4,-10,-21.0,101.0,2,76.8,-15
guelph,143169,64.6,-9,8.0,52.1,-17,69.0,-7
London,547803,75.1,-2,-15.0,63.9,1,79.0,-3
Windsor,354315,80.3,-8,12.0,67.7,-11,84.7,-7
barrie,254020,53.1,9,-17.0,62.1,17,49.7,5
sudbury yang lebih besar,168813,82.1,3,1.0,94.5,6,77.4,1
teluk guntur,125994,100.6,2,-11.0,145.9,-10,84.1,12
winnipeg,828041,131.7,10,-4.0,174.0,7,116.2,12
regina,262606,130.0,1,-10.0,132.6,8,128.7,-1
saskatoon,335901,117.3,0,-12.0,134.7,24,110.8,-8
jembatan leth,124669,141.8,2,,102.7,2,155.5,2
calgary,1526808,92.9,4,15.0,84.5,5,95.7,4
edmonton,1451358,114.9,-1,0.0,109.1,0,116.7,-2
kelowna,216133,121.4,20,0.0,82.2,65,135.2,13
misi Abbotsford,201784,86.4,-3,-23.0,77.5,-3,89.4,-3
vancouver,2692150,95.4,11,-15.0,80.3,16,100.6,10
Victoria,402108,74.3,16,-20.0,65.2,6,77.5,20
Kanada,37589262,79.5,5,-9.0,89.7,7,75.6,4
