kharakteristik,jumlah populasi,indeks indeks keparahan kejahatan total,persentase perubahan indeks keparahan kejahatan total tahun 2014 hingga 2015,persentase perubahan indeks keparahan kejahatan total dari tahun 2005 hingga 2015,indeks indeks keparahan kejahatan kekerasan,persentase perubahan indeks keparahan kejahatan kekerasan tahun 2014 hingga 2015,indeks indeks keparahan kejahatan tanpa kekerasan,persentase perubahan indeks keparahan kejahatan tanpa kekerasan dari tahun 2014 hingga 2015
st. milik John,205776,74.1,1,-24.0,79.6,19,71.9,-4
halifax,417868,62.8,-5,-51.0,79.0,7,56.8,-9
monton,156163,78.5,20,,75.6,0,79.5,29
santo john,127249,56.3,1,,65.7,7,52.8,-1
saguenay,167507,53.8,-3,1.0,61.3,3,50.9,-5
Quebec,799963,41.8,-6,-42.0,43.1,-8,41.2,-5
sherbrooke,198881,49.2,-6,-35.0,44.1,-14,50.9,-3
trois-rivieres,155534,56.7,-4,-22.0,59.9,1,55.4,-6
montreal,4065823,59.1,-2,-43.0,76.1,5,52.8,-5
gatineau,328101,53.6,-5,-40.0,55.9,-3,52.6,-5
ottawa,996621,46.5,4,-44.0,53.7,8,43.8,2
kingston,166348,56.5,2,-32.0,54.5,22,57.2,-3
peterborough,122304,55.0,3,-31.0,56.9,11,54.2,0
toronto,6059112,45.7,2,-37.0,64.6,2,38.7,2
hamilton,752088,50.5,-1,-40.0,54.6,-2,49.0,0
st. catharines-niagara,449098,52.2,2,-37.0,42.2,1,55.8,2
tukang dapur-cambridge-waterloo,542511,59.8,7,-24.0,54.5,6,61.6,8
Brantford,144640,77.1,3,-33.0,70.0,5,79.5,3
guelph,130440,48.4,-1,-19.0,47.3,-1,48.7,-1
London,508639,65.4,0,-30.0,56.7,21,68.4,-5
Windsor,331318,62.0,8,-29.0,67.7,18,59.7,4
barrie,213323,43.3,-1,-44.0,43.8,3,43.0,-2
sudbury yang lebih besar,164266,59.4,-3,-28.0,63.9,0,57.6,-4
teluk guntur,121117,80.1,-11,-27.0,119.2,-14,65.7,-9
winnipeg,808028,87.2,8,-47.0,122.1,5,74.4,9
regina,242714,107.6,5,-48.0,107.9,5,107.3,5
saskatoon,310892,112.5,2,-39.0,113.5,-7,112.0,6
calgary,1445521,78.3,29,-19.0,72.1,13,80.4,36
edmonton,1360356,101.6,16,-28.0,103.9,11,100.5,18
kelowna,196026,98.0,9,-31.0,69.8,16,108.1,8
misi Abbotsford,184352,96.6,14,-37.0,90.4,14,98.6,15
vancouver,2505033,96.2,1,-35.0,85.0,8,100.1,-1
Victoria,365226,72.6,16,-33.0,69.1,18,73.7,16
Kanada,35851774,69.7,5,-31.0,74.5,6,67.8,4
