kharakteristik,rata-rata rasio penjualan kembali,kesalahan standar rasio penjualan kembali,menjual kembali usia rata-rata,menjual kembali kesalahan standar usia,membuang rata-rata usia,membuang kesalahan standar usia
semua bangunan,0.39299999999999996,0.293,15.4,10.1,13.8,9.3
semua bangunan pabrik untuk manufaktur,0.33399999999999996,0.281,19.4,13.4,21.0,10.6
"semua bangunan gudang, penyimpanan berpendingin, terminal pengiriman",0.293,0.297,18.8,9.9,17.3,10.7
"semua bangunan pemeliharaan garasi, bengkel, fasilitas penyimpanan peralatan",0.426,0.24,17.5,8.4,20.5,10.5
semua gedung gedung perkantoran,0.47600000000000003,0.28800000000000003,15.7,9.7,11.3,7.4
"semua bangunan pusat perbelanjaan, plaza, mall, toko",0.435,0.28800000000000003,8.0,6.3,9.3,4.9
semua bangunan industri dan komersial lainnya,0.358,0.27899999999999997,13.9,7.7,13.3,9.2
"semua saluran telepon dan kabel gedung, kabel bawah tanah dan laut",0.132,0.054000000000000006,11.1,1.9,16.8,0.6
"semua bangunan menara komunikasi, antena, stasiun bumi",0.508,0.435,12.5,2.9,23.6,6.7
semua mesin dan peralatan,0.32,0.293,8.0,4.7,8.5,4.9
"semua mesin dan peralatan perabot kantor, perabotan",0.314,0.287,6.6,3.6,8.4,3.3
"semua mesin dan peralatan komputer, perangkat keras terkait, dan pengolah kata",0.249,0.27,4.3,1.7,4.8,1.6
"semua mesin dan peralatan perabot, perabot dan perlengkapan non-kantor",0.519,0.354,6.9,3.4,8.1,3.4
"semua mesin dan peralatan perangkat ilmiah, profesional dan medis",0.373,0.33,9.0,5.6,11.4,5.3
"semua mesin dan peralatan pemanas, listrik, pipa ledeng, AC dan peralatan pendingin",0.655,0.303,9.1,4.0,11.0,4.0
semua peralatan pengurangan dan pengendalian polusi mesin dan peralatan,0.293,0.282,11.3,4.3,11.5,6.0
"semua mesin dan peralatan motor, generator, trafo, turbin, kompresor dan pompa dari segala jenis",0.466,0.32,9.3,5.8,14.0,7.6
semua mesin dan peralatan peralatan konstruksi berat,0.365,0.304,6.9,4.0,10.7,5.9
semua mesin dan peralatan traktor dan peralatan lapangan lainnya,0.28800000000000003,0.25,8.8,4.4,13.3,3.8
seluruh mesin dan peralatan dikapitalisasi dengan perkakas dan perkakas lainnya,0.294,0.284,7.1,3.9,8.5,4.2
semua mesin dan peralatan peralatan pengeboran dan peledakan,0.561,0.254,6.9,4.3,,
semua mesin dan peralatan mobil dan suku cadang pengganti utama,0.314,0.26,5.5,2.5,6.4,2.9
semua bus mesin dan peralatan (semua jenis) dan suku cadang pengganti utama,0.122,0.221,14.8,6.9,22.2,8.0
"semua mesin dan peralatan truk, van, traktor truk, trailer truk dan suku cadang pengganti utama",0.295,0.264,7.7,3.5,8.8,3.6
semua mesin dan peralatan alat transportasi lainnya,0.314,0.26,9.4,4.3,11.2,4.6
semua mesin dan peralatan mesin dan peralatan pengolah dengan bantuan komputer,0.322,0.301,10.3,5.7,12.0,5.8
semua mesin dan peralatan mesin dan peralatan pengolah yang tidak dibantu komputer,0.292,0.28300000000000003,9.5,5.2,12.0,6.1
semua mesin dan peralatan komunikasi dan peralatan terkait,0.28300000000000003,0.29100000000000004,7.3,3.0,7.5,3.4
semua mesin dan perlengkapan perlengkapan keselamatan dan keamanan serta mesin dan perlengkapan lainnya,0.386,0.35,8.8,5.0,10.6,4.7
