kharakteristik,tingkat kejahatan kekerasan,kejahatan kekerasan % perubahan 2009 ke 2017,tingkat kejahatan properti,kejahatan properti % perubahan 2009 ke 2017,tingkat pelanggaran hukum pidana lainnya,pelanggaran hukum pidana lainnya % perubahan 2009 ke 2017,angka pelanggaran lalu lintas KUHP,KUHP pelanggaran lalu lintas % perubahan 2009 ke 2017,tingkat pelanggaran narkoba,% pelanggaran narkoba berubah dari tahun 2009 menjadi 2017
newfoundland dan labrador,,,,,,,,,,
newfoundland dan labrador perkotaan,1386.0,-8.0,2762.0,-41.0,1038.0,24.0,394.0,-14.0,154.0,-42.0
newfoundland dan labrador pedesaan,1228.0,-16.0,3141.0,-9.0,1397.0,37.0,256.0,-39.0,229.0,4.0
pulau pangeran Edward,,,,,,,,,,
perkotaan pulau pangeran Edward,904.0,-38.0,2776.0,-47.0,667.0,-13.0,354.0,-41.0,137.0,-18.0
pedesaan pulau pangeran Edward,869.0,-12.0,2145.0,-26.0,534.0,-14.0,374.0,-36.0,166.0,23.0
Nova Scotia,,,,,,,,,,
perkotaan nova scotia,1281.0,-27.0,2961.0,-36.0,969.0,-17.0,297.0,-17.0,241.0,-18.0
pedesaan nova scotia,1194.0,-20.0,2687.0,-21.0,816.0,-17.0,416.0,-19.0,345.0,15.0
brunswick baru,,,,,,,,,,
perkotaan brunswick baru,1299.0,-12.0,3240.0,-11.0,1078.0,37.0,276.0,-30.0,196.0,-15.0
pedesaan brunswick baru,1203.0,-28.0,2441.0,-11.0,728.0,14.0,381.0,-22.0,277.0,-11.0
Quebec,,,,,,,,,,
perkotaan Quebec,979.0,-10.0,1912.0,-46.0,466.0,-16.0,460.0,-6.0,283.0,18.0
pedesaan Quebec,1314.0,19.0,1544.0,-43.0,518.0,9.0,616.0,-12.0,311.0,-1.0
ontario,,,,,,,,,,
perkotaan ontario,824.0,-18.0,2435.0,-25.0,551.0,7.0,193.0,-24.0,158.0,-30.0
pedesaan ontario,987.0,-11.0,2092.0,-28.0,624.0,-7.0,247.0,-27.0,202.0,-37.0
manitoba,,,,,,,,,,
perkotaan manitoba,1521.0,-10.0,5142.0,-26.0,1301.0,20.0,158.0,-29.0,145.0,-18.0
pedesaan manitoba,2933.0,-11.0,5405.0,-10.0,2971.0,-11.0,718.0,-9.0,346.0,-1.0
saskatchewan,,,,,,,,,,
perkotaan saskatchewan,1445.0,-28.0,5735.0,-17.0,2958.0,0.0,582.0,-26.0,255.0,-13.0
pedesaan saskatchewan,3118.0,-6.0,7179.0,-7.0,3532.0,8.0,1168.0,-8.0,339.0,22.0
alberta,,,,,,,,,,
alberta perkotaan,1158.0,-11.0,5147.0,0.0,1615.0,12.0,321.0,-33.0,238.0,-5.0
alberta pedesaan,1870.0,-24.0,6858.0,13.0,2236.0,-20.0,796.0,-30.0,392.0,-10.0
columbia inggris,,,,,,,,,,
perkotaan columbia inggris,1070.0,-34.0,5011.0,-12.0,1464.0,-15.0,294.0,-36.0,397.0,-21.0
pedesaan columbia inggris,1367.0,-35.0,3293.0,-35.0,1758.0,-28.0,484.0,-31.0,482.0,-43.0
semua provinsi,,,,,,,,,,
semua provinsi perkotaan,990.0,-18.0,3177.0,-22.0,884.0,0.0,296.0,-22.0,233.0,-14.0
semua provinsi pedesaan,1532.0,-11.0,3355.0,-17.0,1324.0,-8.0,543.0,-20.0,310.0,-17.0
