kharakteristik,jumlah populasi Kanada,"persentase penduduk yang mempunyai kode pos, berdasarkan jumlah link wilayah penyebaran 1 persen","persentase penduduk yang mempunyai kode pos, berdasarkan jumlah link wilayah penyebaran 2 persen","persentase penduduk yang mempunyai kode pos, berdasarkan jumlah link wilayah penyebaran 3 persen","persentase penduduk yang mempunyai kode pos, berdasarkan jumlah link wilayah penyebaran 4 persen","persentase penduduk yang mempunyai kode pos, berdasarkan jumlah link wilayah penyebaran 5 persen atau lebih","persentase penduduk yang memiliki kode pos, berdasarkan jumlah tautan wilayah penyebaran yang hilang"
Kanada,35151700.0,72.56,9.77,3.03,1.98,12.54,0.12
provinsi atau wilayah,,,,,,,
provinsi atau wilayah newfoundland dan labrador,519700.0,62.3,12.09,4.97,4.95,15.38,0.31
provinsi atau wilayah pulau pangeran edward,142900.0,44.01,3.82,1.3,2.45,48.01,0.41
provinsi atau wilayah nova scotia,923600.0,57.07,8.35,3.76,2.25,28.39,0.18
provinsi atau wilayah brunswick baru,747100.0,85.74,8.52,2.87,1.36,1.27,0.24
provinsi atau wilayah quebec,8164400.0,71.94,9.43,3.47,2.64,12.5,0.02
provinsi atau wilayah ontario,13448500.0,72.21,9.47,2.07,0.94,15.18,0.12
provinsi atau wilayah manitoba,1278400.0,71.32,9.89,4.54,3.4,10.67,0.19
provinsi atau wilayah saskatchewan,1098500.0,67.95,12.48,5.53,4.61,9.12,0.31
provinsi atau wilayah alberta,4067000.0,72.35,11.58,3.33,2.47,10.02,0.24
provinsi atau wilayah columbia inggris,4648100.0,79.47,9.24,3.17,2.1,5.99,0.04
provinsi atau wilayah yukon,35900.0,95.7,2.61,0.02,0.0,1.29,0.39
provinsi atau wilayah wilayah barat laut,41800.0,69.84,13.94,5.97,2.63,7.55,0.06
provinsi atau wilayah nunavut,35900.0,28.15,31.3,40.55,0.0,0.0,0.0
jenis mode pengiriman,,,,,,,
mode pengiriman tipe a - alamat jalan perkotaan,24812400.0,85.32,11.24,2.09,0.68,0.68,0.0
mode pengiriman tipe b - gedung apartemen perkotaan,3438200.0,95.25,2.38,1.28,0.86,0.23,0.0
mode pengiriman tipe e - gedung bisnis,46100.0,90.64,4.96,1.75,1.79,0.86,0.0
mode pengiriman tipe g - penerima volume besar,72400.0,95.8,2.56,0.98,0.54,0.11,0.0
mode pengiriman tipe h - rute pedesaan,420000.0,6.8,4.11,3.29,5.64,80.16,0.0
mode pengiriman tipe j - pengiriman umum,1400.0,43.29,27.69,1.54,27.48,0.0,0.0
mode pengiriman tipe k - kotak pos,124200.0,63.67,9.19,5.27,4.5,17.37,0.0
mode pengiriman tipe m - penerima volume besar,5400.0,53.43,29.97,10.62,0.81,4.37,0.8
mode pengiriman tipe t - layanan pinggiran kota,208400.0,6.74,8.14,9.47,10.47,65.18,0.0
jenis modus pengiriman pedesaan - kode pos pedesaan,5884000.0,13.86,8.28,7.57,7.32,62.94,0.04
mode pengiriman tipe z - kode pos pensiun,100000.0,10.94,24.47,15.49,14.96,34.14,0.0
jenis mode pengiriman hilang,39300.0,0.0,0.0,0.0,0.35,0.17,99.48
tipe wilayah pusat populasi atau perdesaan,,,,,,,
pusat populasi atau tipe kawasan pedesaan inti,24401500.0,87.12,9.04,1.76,0.73,1.3,0.05
tipe pusat populasi atau daerah pedesaan pinggiran,1102800.0,52.31,11.84,3.44,2.31,30.04,0.07
pusat populasi atau daerah pedesaan tipe daerah pedesaan di dalam cma atau ca,2543100.0,38.1,11.3,5.1,4.44,40.63,0.43
pusat populasi atau pusat populasi tipe daerah pedesaan di luar cma atau ca,1814700.0,39.84,9.08,4.55,5.17,41.09,0.27
pusat populasi atau daerah pedesaan tipe daerah pedesaan di luar cma atau ca,4069800.0,26.15,11.15,8.6,6.73,47.09,0.29
pusat populasi atau daerah pedesaan tipe inti sekunder,1204700.0,74.9,15.84,2.93,1.0,5.26,0.07
pusat populasi atau tipe daerah pedesaan hilang,15100.0,82.27,7.95,1.77,1.66,6.36,0.0
