kharakteristik,Quebec,ontario,alberta,columbia inggris
persentase populasi minoritas yang terlihat,100.0,100.0,100.0,100.0
persentase populasi minoritas yang terlihat di Asia Selatan,9.2,28.4,22.9,25.4
persentase populasi minoritas yang terlihat Tionghoa,10.6,19.3,20.8,37.4
persentase populasi minoritas yang terlihat berkulit hitam,29.4,17.0,10.7,2.6
persentase populasi minoritas yang terlihat Filipina,4.4,9.3,17.8,11.8
persentase populasi minoritas yang terlihat di Amerika Latin,13.8,5.3,6.1,3.0
persentase populasi minoritas yang terlihat arab,17.8,4.2,5.0,1.0
persentase populasi minoritas yang terlihat di Asia Tenggara,7.6,4.1,6.2,4.4
persentase populasi minoritas yang terlihat di Asia Barat,2.6,3.5,2.3,3.2
persentase populasi minoritas yang terlihat orang Korea,0.8,2.4,2.4,4.6
persentase populasi minoritas yang terlihat orang Jepang,0.6,0.9,2.1,3.5
persentase minoritas terlihat populasi minoritas terlihat lainnya,1.1,2.6,1.0,0.5
persentase minoritas yang terlihat populasi beberapa minoritas yang terlihat,2.1,2.9,2.9,2.6
