kharakteristik,saat lahir laki-laki,saat lahir perempuan,pada usia 65 tahun laki-laki,pada usia 65 tahun perempuan
dalam beberapa tahun Kanada,79.6,83.8,19.0,21.9
di tahun newfoundland dan labrador,77.4,81.6,17.3,20.2
di tahun pulau pangeran Edward,78.4,83.1,17.9,21.2
di tahun nova scotia,78.1,82.5,17.8,20.9
di tahun New Brunswick,78.5,83.1,18.4,21.3
di tahun Quebec,79.7,83.8,18.8,21.8
dalam beberapa tahun ontario,80.1,84.2,19.2,22.1
dalam beberapa tahun manitoba,77.8,82.3,18.2,21.3
di tahun Saskatchewan,77.7,82.3,18.4,21.4
di tahun alberta,79.2,83.6,18.9,21.9
dalam beberapa tahun british columbia,80.4,84.4,19.6,22.3
dalam beberapa tahun yukon,76.3,81.2,16.8,20.8
dalam beberapa tahun wilayah barat laut,75.6,80.1,16.4,20.3
dalam beberapa tahun nunavut,68.4,72.9,14.5,14.8
