kharakteristik,wanita,laki-laki
tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas,,
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan manajemen senior",,50.01
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, manajer dalam layanan administrasi, layanan keuangan dan bisnis, dan komunikasi",,44.03
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan manajer pendidikan universitas di bidang teknik, arsitektur, sains, dan sistem informasi",,49.13
"dolar tingkat keterampilan a: pekerjaan biasanya memerlukan pendidikan universitas, manajer di bidang kesehatan",40.62,
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, manajer di bidang administrasi publik, pendidikan dan layanan sosial dan komunitas, dan layanan perlindungan publik",40.59,
"dolar tingkat keterampilan a: pekerjaan biasanya memerlukan manajer pendidikan universitas di bidang seni, budaya, rekreasi dan olahraga",,33.19
tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas pekerjaan manajemen menengah di bidang perdagangan eceran dan grosir serta layanan pelanggan,,36.22
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, manajer dalam konstruksi dan pengoperasian dan pemeliharaan fasilitas, serta transportasi",,38.62
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, manajer dalam produksi sumber daya alam dan perikanan, serta pertanian, hortikultura, dan akuakultur",,38.71
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, manajer di bidang manufaktur dan utilitas",,43.23
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang bisnis dan keuangan",32.86,
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang ilmu alam dan terapan",,39.85
"dolar tingkat keterampilan a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang keperawatan",35.37,
"dolar tingkat keterampilan a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang kesehatan",36.04,
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang layanan pendidikan",35.12,
"tingkat keterampilan dolar a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang hukum dan layanan sosial, masyarakat dan pemerintah",34.05,
"dolar tingkat keterampilan a: pekerjaan biasanya memerlukan pendidikan universitas, pekerjaan profesional di bidang seni dan budaya",31.13,
tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang,,
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, pengawas administratif dan keuangan, serta pekerjaan administratif",25.11,
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang keuangan, asuransi dan pekerjaan administrasi bisnis terkait",24.41,
tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang. Pekerjaan teknis yang berkaitan dengan ilmu alam dan ilmu terapan,,31.98
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, pekerjaan teknis di bidang kesehatan",27.4,
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang pekerjaan paraprofesional di bidang hukum, sosial, komunitas dan layanan pendidikan",22.57,
tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang. Pekerjaan di layanan perlindungan publik garis depan,,38.43
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang. Pekerjaan teknis di bidang seni, budaya, rekreasi dan olahraga",,28.16
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, supervisor penjualan ritel dan pekerjaan penjualan khusus",21.25,
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, penyelia layanan dan pekerjaan layanan khusus",,19.02
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang di bidang industri, kelistrikan dan konstruksi",,29.76
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, pemeliharaan dan pengoperasian peralatan",,29.17
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, penyelia dan pekerjaan teknis di bidang sumber daya alam, pertanian, dan produksi terkait",,33.6
"tingkat keterampilan dolar b: pekerjaan biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang, supervisor pemrosesan, manufaktur dan utilitas, serta operator kendali pusat",,30.76
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan,,
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan pekerjaan pendukung sekolah menengah dan/atau kantor pelatihan khusus pekerjaan,21.65,
"tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau distribusi pelatihan khusus pekerjaan, pelacakan dan penjadwalan pekerjaan koordinasi",,21.64
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan yang membantu pekerjaan dalam mendukung layanan kesehatan,20.95,
"tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan penyedia layanan dan pekerjaan pendukung pendidikan, hukum dan perlindungan publik",19.36,
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan Perwakilan penjualan dan tenaga penjualan - perdagangan grosir dan eceran,,26.2
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau perwakilan layanan pelatihan khusus pekerjaan dan pekerjaan layanan pelanggan dan pribadi lainnya,18.2,
"tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan pemasang, tukang reparasi dan servis serta penangan material lainnya",,21.47
tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan transportasi dan pengoperasian alat berat dan pekerjaan pemeliharaan terkait,,24.08
"tingkat keterampilan dolar c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pekerja pelatihan khusus pekerjaan di bidang sumber daya alam, pertanian, dan produksi terkait",,22.33
dolar tingkat keterampilan c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan operator mesin manufaktur dan pemrosesan serta pekerja produksi terkait,,21.64
dolar tingkat keterampilan c: pekerjaan biasanya memerlukan sekolah menengah dan/atau pelatihan khusus pekerjaan perakit di bidang manufaktur,,21.91
tingkat keterampilan dolar d: pelatihan di tempat kerja biasanya diberikan untuk pekerjaan ini,,
"tingkat keterampilan dolar d: pelatihan di tempat kerja biasanya diberikan untuk pekerjaan-pekerjaan ini, pekerjaan pendukung penjualan",13.97,
"tingkat keterampilan dolar d: pelatihan kerja biasanya diberikan untuk pekerjaan-pekerjaan ini, dukungan layanan dan pekerjaan-pekerjaan layanan lainnya, n.e.c",15.13,
"tingkat keterampilan dolar d: pelatihan kerja biasanya diberikan untuk pekerjaan-pekerjaan ini seperti pembantu perdagangan, buruh bangunan dan pekerjaan-pekerjaan terkait",,23.81
"tingkat keterampilan dolar d: pelatihan kerja biasanya diberikan untuk pekerjaan-pekerjaan seperti pemanen, pertamanan dan pekerja sumber daya alam",,22.94
"tingkat keterampilan dolar d: pelatihan kerja biasanya diberikan untuk pekerjaan-pekerjaan ini para pekerja di bidang pemrosesan, manufaktur, dan utilitas",,19.41
