kharakteristik,nomor 2017,tarif tahun 2017,nomor 2018,tarif tahun 2018,perubahan tarif 2017 menjadi 2018 persen,perubahan tarif 2008 menjadi 2018 persen
total pelanggaran narkoba,92986.0,254.0,83483,225,-11.0,-27.0
total pelanggaran narkoba ganja - kepemilikan,38779.0,106.0,26194,71,-33.0,-53.0
total pelanggaran narkoba ganja - perdagangan manusia,5940.0,16.0,3349,9,-44.0,-64.0
total pelanggaran narkoba ganja - produksi atau impor/ekspor,5028.0,14.0,4898,13,-4.0,-33.0
total pelanggaran narkoba ganja (cannabis act) - kepemilikan,,,458,1,,
total pelanggaran narkoba ganja (cannabis act) - distribusi,,,175,0,,
total pelanggaran narkoba ganja (cannabis act) - penjualan,,,236,1,,
total pelanggaran narkoba ganja (tindakan ganja) - impor atau ekspor,,,308,1,,
total pelanggaran narkoba ganja (cannabis act) - produksi,,,98,0,,
total pelanggaran narkoba ganja (cannabis act) - lainnya,,,179,0,,
total pelanggaran narkoba kokain - kepemilikan,7161.0,20.0,6903,19,-5.0,-41.0
total pelanggaran narkoba kokain - perdagangan manusia,6546.0,18.0,6839,18,3.0,-44.0
total pelanggaran narkoba kokain - produksi atau impor/ekspor,321.0,1.0,583,2,79.0,45.0
total pelanggaran narkoba metamfetamin - kepemilikan,9360.0,26.0,10400,28,10.0,
total pelanggaran narkoba metamfetamin - perdagangan manusia,2409.0,7.0,2680,7,10.0,
total pelanggaran narkoba metamfetamin - produksi atau impor/ekspor,152.0,0.0,523,1,239.0,
total pelanggaran narkoba ekstasi - kepemilikan,302.0,1.0,283,1,-8.0,
total pelanggaran narkoba ekstasi - perdagangan manusia,83.0,0.0,126,0,50.0,
total pelanggaran narkoba ekstasi - produksi atau impor/ekspor,158.0,0.0,778,2,386.0,
total pelanggaran narkoba heroin - kepemilikan,2242.0,6.0,2291,6,1.0,309.0
total pelanggaran narkoba heroin - perdagangan manusia,943.0,3.0,848,2,-11.0,207.0
total pelanggaran narkoba heroin - produksi atau impor/ekspor,93.0,0.0,198,1,110.0,255.0
total pelanggaran narkoba opioid (bukan heroin) - kepemilikan,148.0,0.0,1474,4,,
total pelanggaran narkoba opioid (bukan heroin) - perdagangan manusia,117.0,0.0,941,3,,
total pelanggaran narkoba opioid (bukan heroin) - produksi atau impor/ekspor,15.0,0.0,75,0,,
total pelanggaran narkoba obat lain - kepemilikan,7767.0,21.0,7079,19,,
total pelanggaran narkoba narkoba lainnya - perdagangan,3633.0,10.0,3392,9,,
total pelanggaran narkoba obat lain - produksi atau impor / ekspor atau lainnya,1789.0,5.0,2175,6,,
