kharakteristik,rata-rata donasi tahunan 2013,rata-rata sumbangan tahunan 2010,rata-rata sumbangan tahunan 2007,rata-rata sumbangan tahunan 2004
jumlah dolar,531,470,481,469
total dolar pria,580,491,499,504
total dolar wanita,484,451,465,438
usia 15 hingga 19 tahun,156,136,125,102
usia 20 hingga 24 tahun,245,169,193,208
usia 25 hingga 34 tahun,364,322,351,364
usia 35 hingga 44 tahun,427,454,488,434
usia 45 hingga 54 tahun,664,502,601,580
usia 55 hingga 64 tahun,681,660,548,586
usia 65 hingga 74 tahun,715,625,634,616
usia 75 tahun ke atas,726,765,736,758
