kharakteristik,persen
konstruksi,72.5
"pertambangan, penggalian dan ekstraksi minyak dan gas",70.3
"administrasi dan dukungan, pengelolaan limbah dan layanan remediasi",39.9
pelayanan kesehatan dan bantuan sosial,39.1
"seni, hiburan dan rekreasi",38.3
"layanan profesional, ilmiah dan teknis",33.8
manajemen perusahaan dan perusahaan,29.1
akomodasi dan layanan makanan,23.7
perdagangan eceran,22.0
layanan lainnya,22.0
keuangan dan asuransi,20.5
layanan pendidikan,20.1
real estat dan persewaan dan persewaan,19.8
perdagangan grosir,18.9
utilitas,18.3
semua sektor,17.8
semua sektor transportasi dan pergudangan,11.6
semua sektor administrasi publik,10.9
semua sektor informasi dan industri budaya,-0.3
semua sektor manufaktur,-23.8
"semua sektor kehutanan, penebangan kayu dan kegiatan pendukung kehutanan",-48.2
