kharakteristik,jumlah penduduk tahun 2016,layanan polisi kota total pengeluaran ribuan dolar,persentase pelayanan Satpol PP berubah dari persen tahun sebelumnya,total pengeluaran layanan kepolisian provinsi ribuan dolar,persentase pelayanan kepolisian provinsi berubah dari persen tahun sebelumnya,Royal Canadian Mounted Police Contract Policing mengeluarkan biaya ribuan dolar,kepolisian federal dan internasional mengeluarkan biaya ribuan dolar,royal canadian meningkatkan dukungan operasional polisi dan pengeluaran layanan ribuan dolar,total pengeluaran polisi berkuda kerajaan Kanada ribuan dolar,persentase perubahan polisi yang dipasang di kerajaan Kanada dari persen tahun sebelumnya,total kepolisian total pengeluaran ribuan dolar,persentase total kepolisian berubah dari persen tahun sebelumnya
newfoundland dan labrador,528817.0,,,59318.0,2.8,84763.0,10717,8809,104289,8.0,163607,6.1
pulau pangeran Edward,152021.0,13486.0,2.1,,,16460.0,2908,2103,21471,2.6,34957,2.4
Nova Scotia,953869.0,135165.0,0.9,,,130686.0,16464,13654,160804,-0.2,295969,0.3
brunswick baru,759655.0,70823.0,3.9,,,110230.0,18568,22578,151377,0.1,222200,1.3
Quebec,8394034.0,1618640.0,0.1,953274.0,1.4,,116227,42121,158348,-0.2,2730262,0.5
ontario,14193384.0,3883298.0,1.9,1151119.0,-3.0,144.0,255753,56707,312604,0.4,5347021,0.7
manitoba,1338109.0,310860.0,8.2,,,166882.0,11922,29650,208454,-0.2,519314,4.7
saskatchewan,1163925.0,207600.0,10.3,,,204007.0,13616,19867,237490,0.2,445090,4.7
alberta,4286134.0,964007.0,6.2,,,480021.0,39202,34579,553802,8.1,1517809,6.9
columbia inggris,4817160.0,531755.0,2.9,,,901320.0,101373,73933,1076626,3.0,1608381,2.9
yukon,38459.0,,,,,30215.0,1895,3481,35590,-1.5,35590,-1.5
wilayah barat laut,44520.0,,,,,54301.0,2281,3060,59643,2.0,59643,2.0
nunavut,37996.0,,,,,51466.0,2319,3259,57044,6.5,57044,6.5
total provinsi dan teritorial,36708083.0,7735634.0,2.6,2163711.0,-1.0,2230495.0,593245,313801,3137542,2.8,13036887,2.0
markas besar polisi dan akademi pelatihan yang dipasang di kerajaan Kanada total provinsi dan teritorial,,,,,,449602.0,254328,928595,1632525,14.2,1632525,14.2
Kanada,36708083.0,7735634.0,2.6,2163711.0,-1.0,2680097.0,847573,1242396,4770067,6.4,14669412,3.2
