kharakteristik,berarti kelompok gabungan,kelompok gabungan sd,menurut rata-rata tahun kelahiran tunggal,berdasarkan tahun lahir tunggal sd,"menurut kelompok, rata-rata kelompok 3 tahun","berdasarkan kelompok, kelompok 3 tahun sd",residu pada rata-rata umur,residu pada umur sd,nomor
kelompok kelahiran 1963 hingga 1974,,,,,,,,,
Pendapatan pekerjaan kelompok kelahiran 1963 hingga 1974,,,,,,,,,
"Kelompok kelahiran tahun 1963 hingga 1974, pendapatan pekerjaan, pendapatan individu anak",40.99,0.19,40.58,0.19,40.6,0.19,40.46,0.2,2272.0
"Kelompok kelahiran tahun 1963 hingga 1974, pendapatan pekerjaan, pendapatan anak dan pasangan, tidak disesuaikan",39.85,0.21,39.2,0.21,39.31,0.22,39.37,0.22,
Total pendapatan kelompok kelahiran 1963 hingga 1974,,,,,,,,,
Kelompok kelahiran tahun 1963 hingga 1974 total pendapatan pendapatan individu anak,38.62,0.23,38.59,0.23,38.55,0.23,38.07,0.25,2473.0
"Kelompok kelahiran tahun 1963 hingga 1974, total pendapatan pendapatan anak dan pasangan, tidak disesuaikan",36.75,0.27,36.54,0.27,36.54,0.27,36.38,0.28,
kelompok kelahiran 1963 hingga 1979,,,,,,,,,
Pendapatan pekerjaan kelompok kelahiran 1963 hingga 1979,,,,,,,,,
"Kelompok kelahiran tahun 1963 hingga 1979, pendapatan pekerjaan, pendapatan individu anak",41.23,0.18,40.45,0.19,40.69,0.19,40.71,0.19,2995.0
"Kelompok kelahiran tahun 1963 hingga 1979, pendapatan pekerjaan, pendapatan anak dan pasangan, tidak disesuaikan",39.25,0.22,37.98,0.23,38.41,0.23,38.63,0.23,
total pendapatan kelompok kelahiran 1963 hingga 1979,,,,,,,,,
Kelompok kelahiran 1963 hingga 1979 total pendapatan pendapatan individu anak,39.73,0.21,39.38,0.21,39.44,0.21,39.07,0.23,3244.0
"Kelompok kelahiran tahun 1963 hingga 1979, total pendapatan pendapatan anak dan pasangan, tidak disesuaikan",37.33,0.26,36.63,0.26,36.8,0.27,36.74,0.27,
kelompok kelahiran 1963 hingga 1984,,,,,,,,,
Pendapatan pekerjaan kelompok kelahiran 1963 hingga 1984,,,,,,,,,
"Kelompok kelahiran tahun 1963 hingga 1984, pendapatan pekerjaan, pendapatan individu anak",42.46,0.16,40.85,0.18,41.11,0.18,40.9,0.19,3753.0
"Kelompok kelahiran tahun 1963 hingga 1984, pendapatan pekerjaan, pendapatan anak dan pasangan, tidak disesuaikan",40.82,0.19,38.48,0.22,38.96,0.22,38.98,0.23,
Total pendapatan kelompok kelahiran 1963 hingga 1984,,,,,,,,,
Kelompok kelahiran 1963 hingga 1984 total pendapatan pendapatan individu anak,40.74,0.19,39.53,0.21,39.7,0.21,39.27,0.22,4043.0
"Kelompok kelahiran tahun 1963 hingga 1984, total pendapatan pendapatan anak dan pasangan, tidak disesuaikan",39.01,0.23,37.29,0.25,37.6,0.25,37.44,0.26,
