kharakteristik,jenis nomor ganja obat,jenis narkoba ganja persen,jenis nomor kokain obat,jenis narkoba kokain persen,jenis obat nomor metamfetamin,jenis narkoba sabu persen,jenis obat nomor cdsa lainnya,jenis obat cdsa persen lainnya,jumlah total,persen total
pengadilan pidana dewasa newfoundland dan labrador,778.0,68.9,189.0,16.7,3.0,0.3,159.0,14.1,1129.0,100.0
pengadilan pidana dewasa pulau pangeran Edward,163.0,62.2,39.0,14.9,7.0,2.7,53.0,20.2,262.0,100.0
pengadilan pidana dewasa nova scotia,2937.0,65.5,747.0,16.7,63.0,1.4,736.0,16.4,4483.0,100.0
pengadilan pidana dewasa new brunswick,1507.0,60.7,472.0,19.0,76.0,3.1,427.0,17.2,2482.0,100.0
pengadilan pidana dewasa quebec,,,,,,,,,,
pengadilan pidana dewasa ontario,45123.0,56.3,22001.0,27.4,790.0,1.0,12299.0,15.3,80213.0,100.0
pengadilan pidana dewasa manitoba,2662.0,52.4,1922.0,37.8,6.0,0.1,494.0,9.7,5084.0,100.0
pengadilan pidana dewasa saskatchewan,4644.0,65.8,1338.0,19.0,118.0,1.7,954.0,13.5,7054.0,100.0
pengadilan pidana dewasa alberta,11474.0,54.9,6563.0,31.4,745.0,3.6,2104.0,10.1,20886.0,100.0
pengadilan pidana dewasa british columbia,4679.0,32.2,6538.0,45.0,781.0,5.4,2539.0,17.5,14537.0,100.0
pengadilan pidana dewasa yukon,197.0,59.9,113.0,34.3,0.0,0.0,19.0,5.8,329.0,100.0
pengadilan pidana dewasa wilayah barat laut,249.0,78.8,51.0,16.1,0.0,0.0,16.0,5.1,316.0,100.0
nunavut pengadilan pidana dewasa,393.0,96.6,6.0,1.5,1.0,0.2,7.0,1.7,407.0,100.0
pengadilan pidana dewasa total kasus dewasa yang diselesaikan,74806.0,54.5,39979.0,29.1,2590.0,1.9,19807.0,14.4,137182.0,100.0
pengadilan pemuda newfoundland dan labrador,79.0,80.6,5.0,5.1,0.0,0.0,14.0,14.3,98.0,100.0
pulau pangeran pengadilan pemuda Edward,30.0,73.2,2.0,4.9,0.0,0.0,9.0,22.0,41.0,100.0
pengadilan pemuda nova scotia,279.0,75.4,38.0,10.3,4.0,1.1,49.0,13.2,370.0,100.0
pengadilan pemuda new brunswick,252.0,76.1,13.0,3.9,7.0,2.1,59.0,17.8,331.0,100.0
pengadilan pemuda quebec,3699.0,71.6,133.0,2.6,287.0,5.6,1048.0,20.3,5167.0,100.0
pengadilan pemuda ontario,8383.0,82.1,931.0,9.1,20.0,0.2,878.0,8.6,10212.0,100.0
pengadilan pemuda manitoba,554.0,61.1,275.0,30.3,2.0,0.2,76.0,8.4,907.0,100.0
pengadilan pemuda saskatchewan,1056.0,83.7,81.0,6.4,4.0,0.3,121.0,9.6,1262.0,100.0
pengadilan pemuda alberta,1942.0,76.9,312.0,12.4,18.0,0.7,252.0,10.0,2524.0,100.0
pengadilan pemuda columbia inggris,378.0,51.6,197.0,26.9,9.0,1.2,148.0,20.2,732.0,100.0
pengadilan pemuda yukon,31.0,86.1,1.0,2.8,0.0,0.0,4.0,11.1,36.0,100.0
pengadilan pemuda wilayah barat laut,25.0,75.8,6.0,18.2,0.0,0.0,2.0,6.1,33.0,100.0
pengadilan pemuda nunavut,14.0,93.3,0.0,0.0,0.0,0.0,1.0,6.7,15.0,100.0
total pengadilan pemuda menyelesaikan kasus pemuda,16722.0,77.0,1994.0,9.2,351.0,1.6,2661.0,12.2,21728.0,100.0
