kharakteristik,POLISI,sistem sekolah,bank,sistem peradilan dan pengadilan,media,parlemen federal,perusahaan besar
probabilitas prediksi jenis kelamin,,,,,,,
probabilitas prediksi jenis kelamin laki-laki,0.74,0.6,0.56,0.56,0.4,0.35,0.28
probabilitas prediksi jenis kelamin perempuan,0.79,0.62,0.62,0.58,0.4,0.38,0.31
probabilitas prediksi kelompok umur,,,,,,,
probabilitas prediksi kelompok umur 15 sampai 24 tahun,0.76,0.63,0.67,0.63,0.32,0.49,0.31
probabilitas prediksi kelompok usia 25 hingga 34 tahun,0.72,0.6,0.5,0.52,0.36,0.34,0.24
probabilitas prediksi kelompok usia 35 hingga 44 tahun,0.77,0.6,0.52,0.56,0.4,0.34,0.27
probabilitas prediksi kelompok usia 45 hingga 54 tahun,0.75,0.57,0.56,0.57,0.41,0.34,0.27
probabilitas prediksi kelompok usia 55 hingga 64 tahun,0.76,0.6,0.58,0.56,0.43,0.34,0.3
probabilitas prediksi kelompok usia 65 hingga 74 tahun,0.79,0.64,0.67,0.58,0.45,0.37,0.34
probabilitas prediksi kelompok usia 75 tahun ke atas,0.85,0.74,0.79,0.65,0.56,0.42,0.45
prediksi probabilitas status perkawinan,,,,,,,
prediksi probabilitas status perkawinan menikah/hukum adat,0.78,0.62,0.59,0.59,0.4,0.38,0.3
prediksi probabilitas status perkawinan belum menikah atau dalam hubungan hukum adat,0.73,0.6,0.58,0.55,0.41,0.35,0.28
tingkat probabilitas prediksi pendidikan,,,,,,,
prediksi probabilitas tingkat pendidikan gelar universitas,0.79,0.65,0.59,0.66,0.41,0.38,0.28
prediksi probabilitas tingkat pendidikan kurang dari gelar universitas,0.75,0.59,0.59,0.54,0.4,0.36,0.3
prediksi probabilitas aktivitas utama dalam 12 bulan terakhir,,,,,,,
prediksi probabilitas aktivitas utama dalam 12 bulan terakhir bekerja pada pekerjaan atau bisnis berbayar,0.76,0.6,0.58,0.56,0.4,0.35,0.28
prediksi probabilitas kegiatan utama dalam 12 bulan terakhir lainnya,0.77,0.62,0.6,0.6,0.41,0.39,0.31
prediksi probabilitas pendapatan rumah tangga,,,,,,,
prediksi probabilitas pendapatan rumah tangga $80.000 atau lebih,0.78,0.63,0.6,0.59,0.41,0.37,0.31
prediksi probabilitas pendapatan rumah tangga kurang dari $80.000,0.74,0.59,0.57,0.55,0.4,0.37,0.28
probabilitas yang diprediksi minoritas yang terlihat,,,,,,,
probabilitas yang diprediksi minoritas yang terlihat minoritas yang terlihat,0.71,0.66,0.65,0.6,0.44,0.46,0.36
prediksi probabilitas minoritas yang terlihat minoritas yang tidak terlihat,0.77,0.6,0.58,0.57,0.39,0.35,0.28
prediksi probabilitas identitas penduduk asli,,,,,,,
prediksi probabilitas identitas penduduk asli,0.72,0.58,0.59,0.52,0.37,0.35,0.27
prediksi probabilitas identitas penduduk asli non-penduduk asli,0.76,0.61,0.59,0.57,0.4,0.37,0.29
prediksi probabilitas status imigran,,,,,,,
prediksi probabilitas status imigran non-imigran,0.75,0.6,0.58,0.55,0.4,0.35,0.29
prediksi probabilitas status imigran imigran jangka panjang,0.76,0.64,0.58,0.63,0.4,0.41,0.27
prediksi probabilitas status imigran imigran baru,0.83,0.69,0.64,0.7,0.47,0.51,0.37
"prediksi probabilitas status imigran, lamanya waktu di Kanada tidak diketahui",0.79,0.64,0.62,0.62,0.37,0.38,0.37
probabilitas prediksi bahasa ibu,,,,,,,
prediksi probabilitas bahasa ibu bahasa resmi,0.75,0.6,0.58,0.56,0.39,0.35,0.28
prediksi probabilitas bahasa ibu bukan bahasa resmi saja,0.79,0.66,0.64,0.65,0.46,0.43,0.34
prediksi probabilitas provinsi tempat tinggal,,,,,,,
prediksi probabilitas provinsi tempat tinggal newfoundland dan labrador,0.84,0.73,0.67,0.62,0.51,0.4,0.41
prediksi probabilitas provinsi tempat tinggal pulau pangeran edward,0.74,0.67,0.58,0.63,0.42,0.28,0.34
prediksi probabilitas provinsi tempat tinggal nova scotia,0.78,0.59,0.63,0.6,0.44,0.31,0.29
prediksi probabilitas provinsi tempat tinggal new brunswick,0.8,0.69,0.63,0.65,0.49,0.35,0.35
prediksi probabilitas provinsi tempat tinggal quebec,0.74,0.61,0.54,0.54,0.43,0.39,0.27
prediksi probabilitas provinsi tempat tinggal ontario,0.77,0.61,0.6,0.62,0.39,0.37,0.29
prediksi probabilitas provinsi tempat tinggal manitoba,0.78,0.65,0.63,0.51,0.4,0.37,0.36
prediksi probabilitas provinsi tempat tinggal saskatchewan,0.79,0.66,0.64,0.61,0.43,0.38,0.33
prediksi probabilitas provinsi tempat tinggal alberta,0.78,0.63,0.61,0.57,0.36,0.38,0.3
prediksi probabilitas provinsi tempat tinggal british columbia,0.73,0.57,0.57,0.49,0.38,0.32,0.28
total probabilitas yang diprediksi,0.76,0.61,0.59,0.57,0.4,0.37,0.29
