kharakteristik,jumlah penduduk tahun 2016,nomor polisi 2017 nomor polisi,petugas polisi 2017 petugas polisi per 100.000 penduduk,persentase petugas polisi berubah dari persen tahun sebelumnya,petugas polisi 2017 persentase petugas wanita persen,nomor perekrutan,nomor keberangkatan,keuntungan atau kerugian bersih: jumlah perekrutan dan keberangkatan,petugas polisi memenuhi syarat untuk pensiun persen
"toronto, ontario",2876095.0,5190.0,180.0,-4.9,19.1,26.0,171.0,-145.0,7.1
"montreal, ya",2014221.0,4596.0,228.0,-0.9,32.1,180.0,220.0,-40.0,16.3
"wilayah kupas (mississauga/brampton), ontario",1404431.0,1973.0,140.0,-2.0,18.3,100.0,74.0,26.0,4.5
"calgary, alta",1318817.0,2215.0,168.0,-0.4,18.5,128.0,55.0,73.0,0.0
"wilayah york (markham/vaughan),ontario",1157419.0,1586.0,137.0,-2.4,19.0,52.0,39.0,13.0,5.3
"Ottawa, ont",973481.0,1242.0,128.0,-1.5,22.6,62.0,45.0,17.0,5.8
"Edmonton, Alta",969068.0,1775.0,183.0,-0.2,18.9,134.0,65.0,69.0,8.5
"winnipeg, kawan",735552.0,1409.0,192.0,-2.6,15.6,2.0,43.0,-41.0,25.8
"wilayah Durham (oshawa/whitby/ajax), ontario",671839.0,854.0,127.0,-2.3,19.8,36.0,26.0,10.0,2.7
"vancouver, SM",670718.0,1313.0,196.0,0.0,25.3,73.0,34.0,39.0,8.4
"Quebec, que",575398.0,757.0,132.0,-2.3,27.2,0.0,6.0,-6.0,2.6
"wilayah halton (oakville/burlington), ont",569591.0,686.0,120.0,-2.5,20.7,33.0,23.0,10.0,2.2
"hamilton, ont",561022.0,835.0,149.0,-1.7,23.8,21.0,26.0,-5.0,15.7
"wilayah waterloo (dapur), ont",548936.0,776.0,141.0,-0.1,21.6,33.0,22.0,11.0,0.6
"Surrey, SM",514522.0,732.0,142.0,-1.3,18.4,72.0,19.0,53.0,5.9
"wilayah Niagara (st. catharines), ont",453817.0,706.0,156.0,-0.8,16.6,22.0,18.0,4.0,6.8
"lava, ya",429413.0,611.0,142.0,0.9,30.0,11.0,15.0,-4.0,12.3
"longueuil, ya",423525.0,568.0,134.0,-0.4,34.7,10.0,12.0,-2.0,3.5
"London, ont",397493.0,605.0,152.0,2.5,20.3,38.0,29.0,9.0,3.6
"gatineau, ya",281392.0,393.0,140.0,-1.7,22.6,13.0,15.0,-2.0,4.3
"saskatoon, sask",266064.0,460.0,173.0,-1.4,23.0,17.0,14.0,3.0,10.7
"burnaby, b.c",246987.0,290.0,117.0,1.5,23.4,31.0,7.0,24.0,7.6
"halifax, n.s",238467.0,531.0,223.0,1.7,19.0,21.0,17.0,4.0,2.3
"Regina, Sask",223637.0,397.0,178.0,-1.2,24.9,9.0,11.0,-2.0,2.5
"Windsor, ont",221862.0,428.0,193.0,-1.2,15.9,24.0,17.0,7.0,4.0
"richmond, b.c",209738.0,206.0,98.0,1.3,18.4,30.0,6.0,24.0,7.3
"st. John's, n.l",207695.0,341.0,164.0,-1.2,28.7,15.0,16.0,-1.0,24.0
"richelieu saint-laurent, que",205564.0,212.0,103.0,-0.8,23.1,0.0,12.0,-12.0,0.0
"sudbury yang lebih besar, ont",165154.0,264.0,160.0,0.0,17.4,6.0,9.0,-3.0,4.5
"sherbrooke, ya",164538.0,200.0,122.0,-2.6,23.5,1.0,4.0,-3.0,1.5
"barrie, ont",150443.0,239.0,159.0,-0.6,15.9,0.0,2.0,-2.0,2.5
"saguenay, ya",147543.0,178.0,121.0,0.2,24.2,0.0,9.0,-9.0,3.4
"Abbotsford, SM",146498.0,203.0,139.0,-5.6,18.2,9.0,8.0,1.0,3.0
"Levis, ya",144918.0,155.0,107.0,0.4,21.3,8.0,7.0,1.0,10.3
"terrebonne, ya",139818.0,169.0,121.0,0.7,27.2,19.0,2.0,17.0,3.0
"coquitlam, b.c",139055.0,163.0,117.0,-3.9,26.4,11.0,8.0,3.0,8.6
"trois-rivieres, ya",136168.0,157.0,115.0,-0.5,19.7,4.0,4.0,0.0,2.5
"guelph, ont",132350.0,194.0,147.0,-0.8,22.7,2.0,9.0,-7.0,7.7
"kingston, ont",131746.0,203.0,154.0,-0.1,18.7,3.0,4.0,-1.0,3.4
"kelowna, b.c",129512.0,173.0,134.0,-4.3,31.8,9.0,10.0,-1.0,9.8
"wilayah kodiak (moncton), n.b",118122.0,134.0,113.0,-9.8,18.7,6.0,14.0,-8.0,17.2
"saanich, b.c",117285.0,158.0,135.0,-1.2,24.7,7.0,8.0,-1.0,5.1
"teluk guntur, ont",115740.0,228.0,197.0,-1.3,16.7,6.0,5.0,1.0,3.5
"kotapraja langley, b.c",114940.0,139.0,121.0,-1.6,25.2,13.0,3.0,10.0,8.6
"delta, SM",110730.0,168.0,152.0,6.6,22.6,14.0,7.0,7.0,3.0
"wilayah roussillon, que",105835.0,115.0,109.0,-1.0,25.2,0.0,2.0,-2.0,1.7
"chatham-kent, ont",104859.0,155.0,148.0,-2.3,13.5,3.0,2.0,1.0,10.3
"victoria, SM",104777.0,244.0,233.0,-0.9,25.4,7.0,6.0,1.0,6.1
"rusa merah, alta",103690.0,172.0,166.0,3.7,22.7,11.0,6.0,5.0,5.8
"Brantford, ont",100791.0,173.0,172.0,0.1,15.0,8.0,4.0,4.0,0.0
