kharakteristik,2005,2010,2015,2018
total jutaan dolar untuk semua kategori terkait data,,,,
total jutaan dolar dari semua kategori terkait data dengan nilai kisaran lebih rendah,14693.0,17788.0,26029.0,29455.0
total jutaan dolar dari semua kategori terkait data nilai kisaran atas,19995.0,24125.0,35192.0,40025.0
'data' jutaan dolar,,,,
jutaan dolar 'data' nilai kisaran yang lebih rendah,6777.0,7559.0,8916.0,9418.0
nilai kisaran atas 'data' jutaan dolar,9742.0,10840.0,13448.0,14216.0
'database' jutaan dolar,,,,
jutaan dolar 'database' nilai kisaran yang lebih rendah,3087.0,4143.0,5945.0,8046.0
nilai kisaran atas 'database' jutaan dolar,4564.0,6104.0,8599.0,11625.0
'ilmu data' jutaan dolar,,,,
jutaan dolar 'ilmu data' nilai kisaran yang lebih rendah,4829.0,6085.0,11168.0,11991.0
nilai kisaran atas 'ilmu data' jutaan dolar,5689.0,7181.0,13145.0,14184.0
persen tingkat pertumbuhan tahunan,,,,
persen tingkat pertumbuhan tahunan nilai kisaran yang lebih rendah,,3.9,7.9,4.2
persen nilai kisaran atas tingkat pertumbuhan tahunan,,3.8,7.8,4.4
