kharakteristik,nalmf jumlah perusahaan kolom 1,jumlah nalmf perusahaan dengan lapangan kerja kolom 2,nalmf total lapangan kerja kolom 3,nalmf rata-rata jumlah pegawai per perusahaan dengan lapangan kerja kolom 4,ceedd-bom jumlah perusahaan kolom 5,ceedd-bom jumlah perusahaan dengan lapangan kerja kolom 6,kolom total pekerjaan ceedd-bom 7
nomor 2005,2104500.0,1070300.0,15411100.0,14.4,4732900.0,776200.0,7486300.0
nomor 2006,2174100.0,1096100.0,15768100.0,14.4,4825000.0,804700.0,7760000.0
nomor 2007,2249500.0,1129900.0,16077000.0,14.2,4934500.0,833500.0,7848000.0
nomor 2008,2321100.0,1150900.0,16225700.0,14.1,5076300.0,857000.0,7933700.0
nomor 2009,2356700.0,1159100.0,15928500.0,13.7,5106200.0,865900.0,7842800.0
nomor 2010,2409100.0,1175300.0,16062700.0,13.7,5169000.0,879900.0,7879300.0
nomor 2011,2452200.0,1191800.0,16315500.0,13.7,5338700.0,896700.0,7847900.0
nomor 2012,2485700.0,1207800.0,16419100.0,13.6,5425300.0,897600.0,7828400.0
nomor 2013,2504000.0,1219000.0,16543600.0,13.6,5604500.0,909500.0,8046300.0
angka rata-rata,2339600.0,1155600.0,16083500.0,13.9,5134700.0,857900.0,7830300.0
