kharakteristik,nomor 2016 terkait geng,terkait geng 2016 persen,jumlah total pembunuhan tahun 2016 yang terkait dengan geng,nomor 2015r terkait geng,terkait geng 2015r persen,jumlah total pembunuhan tahun 2015 yang terkait dengan geng
newfoundland dan labrador,1.0,14.3,7,0,0.0,3
pulau pangeran Edward,,,0,0,0.0,1
Nova Scotia,3.0,23.1,13,0,0.0,12
brunswick baru,2.0,20.0,11,0,0.0,11
Quebec,19.0,29.2,67,19,25.7,79
ontario,45.0,22.8,206,21,12.9,174
manitoba,9.0,21.4,42,4,8.5,47
saskatchewan,13.0,24.5,54,5,11.4,44
alberta,20.0,18.3,116,28,22.0,133
columbia inggris,29.0,34.1,87,19,19.6,97
yukon,0.0,0.0,4,0,0.0,1
wilayah barat laut,0.0,0.0,3,0,0.0,5
nunavut,0.0,0.0,1,0,0.0,2
Kanada,141.0,24.0,611,96,16.4,609
