kharakteristik,bahasa resmi pertama yang diucapkan nomor bahasa Inggris,bahasa resmi pertama yang diucapkan nomor Perancis,bahasa resmi pertama yang diucapkan nomor lain,bahasa resmi pertama yang diucapkan persen bahasa Inggris,bahasa resmi pertama yang digunakan persen Perancis,bahasa resmi pertama yang digunakan persen lainnya,bahasa resmi pertama yang diucapkan total
abitibi-temiscamingue nord-du-quebec,0.0,1415.0,0.0,0.0,99.3,0.0,1425.0
keluaraouais,585.0,830.0,0.0,41.2,58.5,0.0,1420.0
Laurentides,370.0,3845.0,0.0,8.8,91.0,0.0,4225.0
lanaudiere,55.0,4355.0,0.0,1.2,98.6,0.0,4415.0
montreal - lava,580.0,1650.0,90.0,24.9,71.0,3.9,2325.0
monteregie,1475.0,15610.0,30.0,8.6,91.2,0.2,17115.0
mauricie,0.0,2550.0,0.0,0.0,99.8,0.0,2555.0
pusat-du-quebec,155.0,8615.0,0.0,1.8,98.2,0.0,8775.0
estri,665.0,4620.0,0.0,12.6,87.3,0.0,5290.0
Quebec,85.0,2680.0,0.0,3.1,96.9,0.0,2765.0
chaudiere-appalache,45.0,9995.0,0.0,0.4,99.6,0.0,10040.0
bas-saint-laurent,0.0,4945.0,0.0,0.0,99.8,0.0,4955.0
saguenay lac-saint-jean cote-nord,0.0,3160.0,0.0,0.0,99.8,0.0,3165.0
gaspesie iles-de-la-madeleine,30.0,615.0,0.0,4.6,94.6,0.0,650.0
