kharakteristik,semua perusahaan skala menengah,menjadi besar,tetap berukuran sedang,menjadi kecil
persen kuartil produktivitas pada tahun t,,,,
persen kuartil produktivitas pada kuartil pertama tahun t,24.9,13.9,22.1,40.7
persen kuartil produktivitas pada kuartil kedua tahun t,25.0,16.7,25.4,24.3
persen kuartil produktivitas pada kuartil ketiga tahun t,25.0,30.1,26.1,18.5
persen kuartil produktivitas pada kuartil keempat tahun t,25.1,39.3,26.5,16.5
persen kuartil produktivitas pada tahun t-5,,,,
persen kuartil produktivitas pada kuartil pertama tahun t-5,24.9,17.1,23.3,33.9
persen kuartil produktivitas pada kuartil kedua tahun t-5,25.0,15.9,25.1,25.6
persen kuartil produktivitas pada tahun t-5 kuartil ketiga,25.0,27.1,25.5,22.3
persen kuartil produktivitas pada kuartil keempat tahun t-5,25.1,39.9,26.1,18.2
