kharakteristik,1990,1995,2000,2005,2010
Panel dolar konstan 2010 a - pendapatan lapangan kerja,,,,,
Panel dolar konstan 2010 a - pendapatan lapangan kerja persentil ke-95,-50.0,-250.0,-100.0,-100.0,-50.0
Panel dolar konstan 2010 a - pendapatan lapangan kerja persentil ke-99,0.0,-450.0,-400.0,-500.0,-200.0
"Panel dolar konstan 2010 a - pendapatan lapangan kerja persentil ke-99,9",-300.0,-4550.0,-6900.0,-6500.0,-2550.0
Panel dolar konstan 2010 b - pendapatan wirausaha bisnis,,,,,
Panel dolar konstan 2010 b - pendapatan wirausaha bisnis persentil ke-95,0.0,50.0,850.0,1050.0,700.0
Panel dolar konstan 2010 b - pendapatan wirausaha bisnis persentil ke-99,850.0,750.0,1450.0,1650.0,1050.0
"Panel dolar konstan 2010 b - pendapatan wirausaha bisnis persentil ke-99,9",1950.0,1700.0,2450.0,3000.0,1600.0
Panel dolar konstan 2010 c - total pendapatan,,,,,
Panel dolar konstan 2010 c - total pendapatan persentil ke-95,0.0,-250.0,-100.0,-100.0,-200.0
Panel dolar konstan 2010 c - total pendapatan persentil ke-99,400.0,-700.0,-1200.0,-1150.0,-1250.0
"Panel dolar konstan 2010 c - total pendapatan persentil ke-99,9",7500.0,-950.0,-5750.0,-7000.0,-7850.0
