kharakteristik,nomor 2008,pembagian tahun 2008,nomor 2014,pembagian tahun 2014,variasi nomor
antara 1 dan 4,662589.0,64.4,707075.0,64.9,6.7
antara 5 dan 9,183979.0,17.9,187773.0,17.2,2.1
antara 10 dan 19,97574.0,9.5,102493.0,9.4,5.0
antara 20 dan 49,56411.0,5.5,61520.0,5.6,9.1
antara 50 dan 99,16991.0,1.7,18596.0,1.7,9.4
antara 100 dan 249,7566.0,0.7,8219.0,0.8,8.6
antara 250 dan 499,1770.0,0.2,1893.0,0.2,6.9
antara 500 dan 999,737.0,0.1,805.0,0.1,9.2
1.000 ke atas,780.0,0.1,762.0,0.1,-2.3
total,1028397.0,100.0,1089136.0,100.0,5.9
