kharakteristik,pangsa 'database' dari kegiatan produksi 2005 hingga 2018 persen,investasi dalam 'database' 2005 jutaan dolar,investasi dalam 'database' 2010 jutaan dolar,investasi dalam 'database' 2015 jutaan dolar,investasi dalam 'database' 2018 jutaan dolar
total seluruh kelompok pekerjaan,,,,,
total semua kelompok pekerjaan nilai kisaran yang lebih rendah,,3087.0,4143.0,5945.0,8046.0
total semua nilai kisaran atas kelompok pekerjaan,,4564.0,6104.0,8599.0,11625.0
manajer komputer dan sistem informasi,,,,,
manajer komputer dan sistem informasi menurunkan kisaran nilai,30.0,1880.0,2527.0,3345.0,4555.0
nilai kisaran atas manajer komputer dan sistem informasi,50.0,3133.0,4211.0,5574.0,7591.0
analis basis data dan administrator data,,,,,
analis basis data dan administrator data menurunkan nilai kisaran,90.0,1045.0,1444.0,2357.0,3212.0
analis basis data dan administrator data nilai kisaran atas,100.0,1162.0,1604.0,2619.0,3569.0
teknisi pengujian sistem informasi,,,,,
teknisi pengujian sistem informasi nilai rentang yang lebih rendah,30.0,161.0,173.0,244.0,279.0
nilai kisaran atas teknisi pengujian sistem informasi,50.0,269.0,289.0,406.0,466.0
persen tingkat pertumbuhan tahunan,,,,,
persen tingkat pertumbuhan tahunan nilai kisaran yang lebih rendah,,,6.1,7.5,10.6
persen nilai kisaran atas tingkat pertumbuhan tahunan,,,6.0,7.1,10.6
