kharakteristik,1999,2016,mengubah
Keluarga senior dengan hutang dolar konstan 2016,298900.0,537400.0,238500.0
Jenis kelamin dolar konstan tahun 2016 dari pencari nafkah utama,,,
Dolar konstan 2016 jenis kelamin laki-laki yang berpenghasilan utama,380500.0,608500.0,228000.0
Dolar konstan 2016 jenis kelamin perempuan yang berpenghasilan besar,166300.0,435300.0,269000.0
Dolar konstan tahun 2016 merupakan usia penghasil pendapatan utama,,,
Dolar konstan 2016 Usia penerima penghasilan utama 65 hingga 69,374000.0,608500.0,234500.0
Dolar konstan 2016 Usia penerima pendapatan utama 70 hingga 74,273700.0,543600.0,269900.0
Dolar konstan 2016 Usia penerima penghasilan utama 75 hingga 79,233300.0,532800.0,299500.0
Dolar Konstan 2016 Usia penerima penghasilan utama 80 tahun ke atas,213300.0,374100.0,160800.0
Dolar konstan 2016 tingkat pendidikan tertinggi bagi pencari nafkah utama,,,
2016 dolar konstan tingkat pendidikan tertinggi bagi mereka yang berpenghasilan utama kurang dari sekolah menengah atas,208600.0,261600.0,53000.0
2016 dolar konstan tingkat pendidikan tertinggi dari ijazah sekolah menengah atas yang berpenghasilan utama,305000.0,418000.0,113000.0
"2016 dolar konstan tingkat pendidikan tertinggi bagi pencari nafkah utama, sertifikat atau diploma pasca sekolah menengah non-universitas",337900.0,568600.0,230700.0
2016 dolar konstan tingkat pendidikan tertinggi dari gelar atau sertifikat universitas yang menghasilkan pendapatan utama,739000.0,1080800.0,341800.0
Struktur keluarga dolar konstan 2016,,,
Struktur keluarga dolar konstan 2016 individu yang tidak terikat,157000.0,261600.0,104600.0
Struktur keluarga dolar konstan 2016 laki-laki,226700.0,264200.0,37500.0
Struktur keluarga dolar konstan 2016 perempuan,137100.0,259900.0,122800.0
"Pasangan struktur keluarga dolar konstan 2016, tanpa anak",406600.0,730000.0,323400.0
Struktur keluarga dolar konstan 2016 tipe keluarga lainnya,326200.0,736800.0,410600.0
Status imigran dolar konstan tahun 2016 sebagai pencari nafkah utama,,,
Status imigran dolar konstan 2016 dari imigran berpenghasilan utama,307800.0,730000.0,422200.0
Status imigran dolar konstan 2016 dari pencari nafkah utama kelahiran Kanada,298900.0,509800.0,210900.0
Status kepemilikan rumah dolar konstan 2016,,,
Pemilik status kepemilikan rumah dolar konstan 2016 dengan hipotek,334100.0,596000.0,261900.0
Pemilik status kepemilikan rumah dolar konstan 2016 tanpa hipotek,414000.0,817800.0,403800.0
Status kepemilikan rumah dolar konstan 2016 bukan pemilik,53100.0,66200.0,13100.0
Status angkatan kerja dolar konstan 2016 sebagai pencari nafkah utama,,,
Status angkatan kerja dolar konstan 2016 dari karyawan berpenghasilan utama,451600.0,577000.0,125400.0
Status angkatan kerja dolar konstan 2016 dari pencari nafkah utama wiraswasta,541100.0,909500.0,368400.0
Status angkatan kerja dolar konstan 2016 dari pencari nafkah utama yang bukan angkatan kerja,276400.0,509800.0,233400.0
Kuintil pendapatan keluarga dolar konstan 2016,,,
Kuintil pendapatan keluarga dolar konstan 2016 kuintil terbawah,62900.0,68900.0,6000.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil kedua,127200.0,278100.0,150900.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil menengah,311000.0,571400.0,260400.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil keempat,451600.0,897600.0,446000.0
Kuintil teratas pendapatan keluarga dolar konstan tahun 2016,737900.0,1399600.0,661700.0
Provinsi atau wilayah tempat tinggal dolar konstan 2016,,,
Provinsi dolar konstan 2016 atau wilayah tempat tinggal Atlantik,174600.0,351600.0,177000.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal quebec,249000.0,354600.0,105600.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal ontario,395300.0,691500.0,296200.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal manitoba,254600.0,559200.0,304600.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal saskatchewan,341600.0,619800.0,278200.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal alberta,311000.0,577000.0,266000.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal British Columbia,340300.0,733400.0,393100.0
