kharakteristik,nomor estri,persen estri,nomor monteregie,persen monteregie,montreal - nomor lava,montreal - persen lava,nomor Laurentides,persen Laurentides,nomor outaouais,persen keluar,nomor total Quebec,total persen Quebec
jumlah total peternakan,2730.0,100.0,6848.0,100.0,156.0,100.0,1390.0,100.0,1167.0,100.0,29437.0,100.0
peternakan dan peternakan,1021.0,37.4,1561.0,22.8,7.0,4.5,308.0,22.2,457.0,39.2,9069.0,30.8
"peternakan dan peternakan sapi potong peternakan dan peternakan, termasuk tempat pemberian pakan",470.0,17.2,472.0,6.9,4.0,2.6,116.0,8.3,369.0,31.6,3154.0,10.7
peternakan sapi dan peternakan sapi perah dan produksi susu,551.0,20.2,1089.0,15.9,3.0,1.9,192.0,13.8,88.0,7.5,5915.0,20.1
peternakan babi dan babi,100.0,3.7,469.0,6.8,1.0,0.6,10.0,0.7,3.0,0.3,1515.0,5.1
produksi unggas dan telur,24.0,0.9,207.0,3.0,2.0,1.3,20.0,1.4,8.0,0.7,718.0,2.4
produksi unggas dan telur produksi telur ayam,9.0,0.3,53.0,0.8,1.0,0.6,5.0,0.4,5.0,0.4,164.0,0.6
produksi unggas dan telur ayam pedaging serta produksi ayam jenis daging lainnya,11.0,0.4,92.0,1.3,1.0,0.6,9.0,0.6,2.0,0.2,398.0,1.4
produksi unggas dan telur produksi kalkun,0.0,0.0,26.0,0.4,0.0,0.0,1.0,0.1,0.0,0.0,58.0,0.2
tempat penetasan unggas produksi unggas dan telur,1.0,0.0,4.0,0.1,0.0,0.0,1.0,0.1,0.0,0.0,11.0,0.0
kombinasi produksi unggas dan telur produksi unggas dan telur,2.0,0.1,9.0,0.1,0.0,0.0,2.0,0.1,0.0,0.0,35.0,0.1
produksi unggas dan telur semua produksi unggas lainnya,1.0,0.0,23.0,0.3,0.0,0.0,2.0,0.1,1.0,0.1,52.0,0.2
peternakan domba dan kambing,102.0,3.7,124.0,1.8,3.0,1.9,32.0,2.3,30.0,2.6,771.0,2.6
peternakan domba dan kambing peternakan domba,83.0,3.0,85.0,1.2,0.0,0.0,28.0,2.0,24.0,2.1,582.0,2.0
peternakan domba dan kambing peternakan kambing,19.0,0.7,39.0,0.6,3.0,1.9,4.0,0.3,6.0,0.5,189.0,0.6
produksi hewan lainnya,164.0,6.0,446.0,6.5,14.0,9.0,180.0,12.9,156.0,13.4,1931.0,6.6
pemeliharaan lebah produksi hewan lainnya,17.0,0.6,47.0,0.7,7.0,4.5,17.0,1.2,13.0,1.1,198.0,0.7
kuda produksi hewan lainnya dan produksi kuda lainnya,81.0,3.0,241.0,3.5,5.0,3.2,103.0,7.4,78.0,6.7,922.0,3.1
produksi hewan lainnya produksi hewan berbulu dan produksi kelinci,3.0,0.1,8.0,0.1,1.0,0.6,3.0,0.2,0.0,0.0,51.0,0.2
peternakan kombinasi hewan produksi hewan lainnya,53.0,1.9,125.0,1.8,0.0,0.0,42.0,3.0,53.0,4.5,607.0,2.1
produksi hewan lainnya semua produksi hewan lain-lain,10.0,0.4,25.0,0.4,1.0,0.6,15.0,1.1,12.0,1.0,153.0,0.5
pertanian biji minyak dan biji-bijian,86.0,3.2,2072.0,30.3,4.0,2.6,107.0,7.7,48.0,4.1,3849.0,13.1
"pertanian biji minyak dan biji-bijian, pertanian kedelai",22.0,0.8,343.0,5.0,1.0,0.6,35.0,2.5,13.0,1.1,777.0,2.6
pertanian biji minyak dan biji-bijian pertanian biji minyak (kecuali kedelai).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.1
pertanian biji minyak dan biji-bijian pertanian kacang polong dan kacang kering,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"pertanian biji minyak dan biji-bijian, pertanian gandum",3.0,0.1,11.0,0.2,0.0,0.0,0.0,0.0,3.0,0.3,49.0,0.2
"pertanian biji minyak dan biji-bijian, pertanian jagung",23.0,0.8,1419.0,20.7,1.0,0.6,30.0,2.2,11.0,0.9,1996.0,6.8
"pertanian biji minyak dan biji-bijian, pertanian biji-bijian lainnya",38.0,1.4,297.0,4.3,2.0,1.3,42.0,3.0,21.0,1.8,1007.0,3.4
pertanian sayuran dan melon,31.0,1.1,372.0,5.4,32.0,20.5,73.0,5.3,34.0,2.9,974.0,3.3
"pertanian sayuran dan melon, pertanian kentang",1.0,0.0,39.0,0.6,0.0,0.0,8.0,0.6,9.0,0.8,224.0,0.8
pertanian sayuran dan melon Sayuran lainnya (kecuali kentang) dan pertanian melon,30.0,1.1,333.0,4.9,32.0,20.5,65.0,4.7,25.0,2.1,750.0,2.5
pertanian buah-buahan dan kacang-kacangan,74.0,2.7,410.0,6.0,13.0,8.3,163.0,11.7,27.0,2.3,1414.0,4.8
"rumah kaca, pembibitan dan produksi florikultura",192.0,7.0,292.0,4.3,69.0,44.2,157.0,11.3,57.0,4.9,1397.0,4.7
"produksi jamur produksi rumah kaca, pembibitan dan florikultura",3.0,0.1,3.0,0.0,0.0,0.0,2.0,0.1,2.0,0.2,19.0,0.1
"rumah kaca, pembibitan dan produksi florikultura tanaman pangan lainnya yang ditanam secara tertutup",23.0,0.8,48.0,0.7,9.0,5.8,45.0,3.2,14.0,1.2,242.0,0.8
"rumah kaca, pembibitan dan pembibitan produksi florikultura dan produksi pohon",145.0,5.3,130.0,1.9,16.0,10.3,56.0,4.0,25.0,2.1,696.0,2.4
"rumah kaca, pembibitan dan produksi florikultura produksi florikultura",21.0,0.8,111.0,1.6,44.0,28.2,54.0,3.9,16.0,1.4,440.0,1.5
pertanian tanaman lainnya,936.0,34.3,895.0,13.1,11.0,7.1,340.0,24.5,347.0,29.7,7799.0,26.5
"pertanian tanaman lainnya, pertanian tembakau",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"pertanian tanaman lainnya, pertanian jerami",251.0,9.2,325.0,4.7,3.0,1.9,157.0,11.3,248.0,21.3,2224.0,7.6
"pertanian tanaman lainnya, pertanian kombinasi buah dan sayuran",5.0,0.2,28.0,0.4,0.0,0.0,6.0,0.4,3.0,0.3,85.0,0.3
produksi sirup maple dan produk pertanian tanaman lainnya,612.0,22.4,394.0,5.8,2.0,1.3,131.0,9.4,40.0,3.4,4674.0,15.9
pertanian tanaman lainnya semua pertanian tanaman lain-lain,68.0,2.5,148.0,2.2,6.0,3.8,46.0,3.3,56.0,4.8,813.0,2.8
