kharakteristik,dolar saat ini total pengeluaran ribuan dolar,persentase dolar saat ini berubah dari persen tahun sebelumnya,dolar saat ini per kapita biaya dolar,persentase dolar saat ini berubah dari persen tahun sebelumnya,konstan (2002) dolar total pengeluaran ribuan dolar,persentase perubahan dolar konstan (2002) dari persen tahun sebelumnya,konstan (2002) dolar per kapita biaya dolar,persentase perubahan dolar konstan (2002) dari persen tahun sebelumnya
1986/1987,3771205,,144,,5748789,,220,
1987/1988,4027809,6.8,152,5.4,5880013,2.3,222,0.9
1988/1989,4389414,9.0,164,7.6,6164908,4.8,230,3.5
1989/1990,4684760,6.7,172,4.8,6263049,1.6,230,-0.2
1990/1991,5247646,12.0,189,10.3,6693426,6.9,242,5.3
1991/1992,5426887,3.4,194,2.2,6554211,-2.1,234,-3.2
1992/1993,5716833,5.3,202,4.1,6805754,3.8,240,2.6
1993/1994,5790165,1.3,202,0.2,6764212,-0.6,236,-1.7
1994/1995,5783656,-0.1,199,-1.2,6748723,-0.2,233,-1.3
1995/1996r,5766630,-0.3,197,-1.3,6582911,-2.5,225,-3.5
1996/1997r,5856055,1.6,198,0.5,6587238,0.1,222,-1.0
1997/1998,5989022,2.3,200,1.3,6625024,0.6,222,-0.4
1998/1999,6209756,3.7,206,2.8,6801486,2.7,226,1.8
1999/2000,6395380,3.0,210,2.2,6884155,1.2,226,0.4
2000/2001r,6798772,6.3,222,5.3,7126596,3.5,232,2.6
2001/2002r,7270027,6.9,234,5.8,7433565,4.3,240,3.2
2002/2003r,7827322,7.7,250,6.5,7827322,5.3,250,4.2
2003/2004r,8324196,6.3,263,5.4,8097467,3.5,256,2.5
2004/2005,8758213,5.2,274,4.2,8365055,3.3,262,2.3
2005/2006,9281879,6.0,288,5.0,8674653,3.7,269,2.7
2006/2007,9877071,6.4,303,5.3,9053227,4.4,278,3.3
2007/2008r,10544769,6.8,321,5.7,9457192,4.5,288,3.5
2008/2009r,11449953,8.6,344,7.4,10035016,6.1,302,5.0
2009/2010r,12314195,7.5,366,6.3,10764157,7.3,320,6.0
2010/2011r,12651406,2.7,372,1.6,10859576,0.9,319,-0.2
2011/2012r,12952744,2.4,377,1.4,10802955,-0.5,315,-1.5
2012/2013r,13550728,4.6,390,3.4,11134534,3.1,320,1.9
2013/2014,13596407,0.3,387,-0.8,11071992,-0.6,315,-1.7
2014/2015r,13881108,2.1,391,1.0,11087147,0.1,312,-0.9
2015/2016r,14208589,2.4,397,1.5,11223214,1.2,313,0.4
2016/2017,14669412,3.2,405,2.0,11424776,1.8,315,0.6
