kharakteristik,nomor kohort tumor cctlp terkait,tumor dengan satu atau lebih nomor intervensi bedah,tumor dengan satu atau lebih intervensi bedah persen
Kanada,49135.0,9380.0,19.1
kanada newfoundland dan labrador,1245.0,195.0,15.6
pulau pangeran edward kanada,360.0,50.0,13.6
Kanada Nova Scotia,2680.0,535.0,20.0
kanada brunswick baru,1950.0,490.0,25.1
kanada ontario,24205.0,4765.0,19.7
manitoba Kanada,2460.0,560.0,22.9
Kanada Saskatchewan,2200.0,385.0,17.5
Kanada Alberta,5425.0,955.0,17.6
"Kanada, British Columbia",8475.0,1420.0,16.8
kanada yukon,50.0,10.0,19.6
wilayah barat laut Kanada,,,
Kanada nunavut,,,
